Upper.Taxon	N individuals observed	Obs spp	Estimated total spp (Chao1)	Chao1 SE	Sampling completeness
Tenthredo_arcuata	32	7	8.5	2.546624063	0.823529412
Tenthredo_celtica	1	1	1	0	1
Tenthredo_sp.	5	3	4	2.121320344	0.75
Tephritis_vespertina	2	2	3	2.041241452	0.666666667
Tetanura_pallidiventris	2	1	1	0	1
Thricops_semicinereus	7	3	3	0.204124145	1
Thymelicus_lineola	2	2	3	2.041241452	0.666666667
Thymelicus_sylvestris	38	19	23.5	4.101358753	0.808510638
Thyridanthrax_fenestratus	1	1	1	0	1
Tipula_oleracea	1	1	1	0	1
Tipula_paludosa	1	1	1	0	1
Trachysiphonella_ruficeps	1	1	1	0	1
Trichomalus_rufinus	4	2	2	0.353553391	1
Vespula_germanica	6	1	1	0	1
Vespula_rufa	1	1	1	0	1
Vespula_vulgaris	5	2	2	0.353553391	1
Volucella_bombylans	5	2	2	0.353553391	1
Volucella_pellucens	1	1	1	0	1
Xanthogramma_pedissequum	1	1	1	0	1
Xylota_segnis	1	1	1	0	1
Zacladus_exiguus	2	1	1	0	1
Zygaena_filipendulae	81	17	18.5	2.223283577	0.918918919
Zygaena_lonicerae	1	1	1	0	1
Zygaena_trifolii	3	2	2	0.176776695	1
